,0
0,3.015370017802391
1,3.015370017802391
2,3.015370017802391
3,3.015370017802391
4,3.015370017802391
5,3.015370017802391
6,3.015370017802391
7,3.015370017802391
8,3.015370017802391
9,3.015370017802391
10,3.015370017802391
11,3.015370017802391
12,3.015370017802391
13,3.015370017802391
14,3.015370017802391
15,3.015370017802391
16,3.015370017802391
17,3.015370017802391
18,3.015370017802391
19,3.015370017802391
20,3.015370017802391
21,3.015370017802391
22,3.015370017802391
23,3.015370017802391
24,3.015370017802391
25,3.015370017802391
26,3.015370017802391
27,3.015370017802391
28,3.015370017802391
29,3.015370017802391
30,3.015370017802391
31,3.015370017802391
32,3.015370017802391
33,3.015370017802391
34,3.015370017802391
35,3.015370017802391
36,3.015370017802391
37,3.015370017802391
38,3.015370017802391
39,3.015370017802391
40,3.015370017802391
41,3.015370017802391
42,3.015370017802391
43,3.015370017802391
44,3.015370017802391
45,3.015370017802391
46,3.015370017802391
47,3.015370017802391
48,3.015370017802391
49,3.015370017802391
50,3.015370017802391
51,3.015370017802391
52,3.015370017802391
53,3.015370017802391
54,3.015370017802391
55,3.015370017802391
56,3.015370017802391
57,3.015370017802391
58,3.015370017802391
59,3.015370017802391
60,3.015370017802391
61,3.015370017802391
62,3.015370017802391
63,3.015370017802391
64,3.015370017802391
65,3.015370017802391
66,3.015370017802391
67,3.015370017802391
68,3.015370017802391
69,3.015370017802391
70,3.015370017802391
71,3.015370017802391
72,3.015370017802391
73,3.015370017802391
74,3.015370017802391
75,3.015370017802391
76,3.015370017802391
77,3.015370017802391
78,3.015370017802391
79,3.015370017802391
80,3.015370017802391
81,3.015370017802391
82,3.015370017802391
83,3.015370017802391
84,3.015370017802391
85,3.015370017802391
86,3.015370017802391
87,3.015370017802391
88,3.015370017802391
89,3.015370017802391
90,3.015370017802391
91,3.015370017802391
92,3.015370017802391
93,3.015370017802391
94,3.015370017802391
95,3.015370017802391
96,3.015370017802391
97,3.015370017802391
98,3.015370017802391
99,3.015370017802391
100,3.015370017802391
101,3.015370017802391
102,3.015370017802391
103,3.015370017802391
104,3.015370017802391
105,3.015370017802391
106,3.015370017802391
107,3.015370017802391
108,3.015370017802391
109,3.015370017802391
110,3.015370017802391
111,3.015370017802391
112,3.015370017802391
113,3.015370017802391
114,3.015370017802391
115,3.015370017802391
116,3.015370017802391
117,3.015370017802391
118,3.015370017802391
119,3.015370017802391
120,3.015370017802391
121,3.015370017802391
122,3.015370017802391
123,3.015370017802391
124,3.015370017802391
125,3.015370017802391
126,3.015370017802391
127,3.015370017802391
128,3.015370017802391
129,3.015370017802391
130,3.015370017802391
131,3.015370017802391
132,3.015370017802391
133,3.015370017802391
134,3.015370017802391
135,3.015370017802391
136,3.015370017802391
137,3.015370017802391
138,3.015370017802391
139,3.015370017802391
140,3.015370017802391
141,3.015370017802391
142,3.015370017802391
143,3.015370017802391
144,3.015370017802391
145,3.015370017802391
146,3.015370017802391
147,3.015370017802391
148,3.015370017802391
149,3.015370017802391
150,3.015370017802391
151,3.015370017802391
152,3.015370017802391
153,3.015370017802391
154,3.015370017802391
155,3.015370017802391
156,3.015370017802391
157,3.015370017802391
158,3.015370017802391
159,3.015370017802391
160,3.015370017802391
161,3.015370017802391
162,3.015370017802391
163,3.015370017802391
164,3.015370017802391
165,3.015370017802391
166,3.015370017802391
167,3.015370017802391
168,3.015370017802391
169,3.015370017802391
170,3.015370017802391
171,3.015370017802391
172,3.015370017802391
173,3.015370017802391
174,3.015370017802391
175,3.015370017802391
176,3.015370017802391
177,3.015370017802391
178,3.015370017802391
179,3.015370017802391
180,3.015370017802391
181,3.015370017802391
182,3.015370017802391
183,3.015370017802391
184,3.015370017802391
185,3.015370017802391
186,3.015370017802391
187,3.015370017802391
188,3.015370017802391
189,3.015370017802391
190,3.015370017802391
191,3.015370017802391
192,3.015370017802391
193,3.015370017802391
194,3.015370017802391
195,3.015370017802391
196,3.015370017802391
197,3.015370017802391
198,3.015370017802391
199,3.015370017802391
200,3.015370017802391
