,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,83282644.11141035,106086095.49356134,250461811.04785946,112645372.06180508,128449962.4217299,137044747.49083596,65960528.67428006,67970453.56213665,187610662.27639642,150625919.0687844,192981364.32273117,142975211.1324021,210833380.02397934,121419038.74985704,101972268.92516808,76652638.61417367,104566655.86838421,65408874.64567952,171863319.5634664,240731744.4620006,235901591.42873657,98510197.87043399,335867414.65025514,185705343.29722774,136782781.35774446,180847663.79633516,203197152.1617439,134918750.89952636,149824040.70440173,73305593.53210583,46411101.07243529,206088304.5586426,119232599.25027086,243158895.76011637,168077945.75776488,139656046.99262908,253982601.05892694,171343015.91436118,120485782.4546972,127591186.31299132,93448678.03961825,139796878.45628574,197223138.7000117,164447398.72276536,142409512.98362288,141350631.15287024,144706714.45842448,136403788.14738536,141953743.22846213,314617987.02524215
1,83282644.11141035,92445157.23893695,250461811.04785946,112645372.06180508,128449962.4217299,137044747.49083596,65960528.67428006,67970453.56213665,87233962.98665434,150625919.0687844,192981364.32273117,86903097.15038213,210833380.02397934,121419038.74985704,101972268.92516808,72723529.80148137,93452695.07385316,65408874.64567952,171863319.5634664,177447203.7597013,164941151.17535973,84762999.96877694,294135961.09655136,119088262.87804402,100970804.14600697,137058362.41832578,180550279.52659214,105422235.67356884,144670265.23232624,73305593.53210583,46411101.07243529,164219137.464826,55851293.24569818,107671672.22604993,120683321.86162354,139656046.99262908,191209378.51195863,43053421.879004,120485782.4546972,127591186.31299132,47748900.98011261,139796878.45628574,94806881.26498261,164447398.72276536,75697051.42626888,141350631.15287024,113195142.17604388,136403788.14738536,48949193.748227,149383685.6728351
2,83282644.11141035,84220178.49762835,170188777.34527314,50114271.209204555,86415655.87978889,90582091.85452455,65960528.67428006,67970453.56213665,87233962.98665434,41578880.154393286,145300640.94429886,86903097.15038213,88838190.19022463,121419038.74985704,49297530.072432324,72723529.80148137,89515303.50432095,59499721.74837709,106379543.94384205,124483444.46890068,87032592.90411976,84762999.96877694,87735560.98011672,119088262.87804402,100970804.14600697,137058362.41832578,180550279.52659214,105422235.67356884,41680465.65880665,73305593.53210583,46411101.07243529,160077802.26587877,55851293.24569818,107671672.22604993,120683321.86162354,98558253.90136912,145979301.29962707,43053421.879004,120485782.4546972,127591186.31299132,47748900.98011261,63713994.13054279,76389134.05328459,139509788.0998947,75697051.42626888,84632575.60682873,93417346.2587164,121447578.60223903,48949193.748227,149383685.6728351
3,68298867.43124354,84220178.49762835,104143686.3712897,50114271.209204555,86415655.87978889,90582091.85452455,65960528.67428006,67970453.56213665,81874719.63663194,41578880.154393286,145300640.94429886,86903097.15038213,88838190.19022463,70117848.3983828,49297530.072432324,62895146.9952441,89515303.50432095,59499721.74837709,85891390.40179737,124483444.46890068,87032592.90411976,40318612.30274236,87735560.98011672,119088262.87804402,100970804.14600697,84087169.1820536,180550279.52659214,105422235.67356884,41680465.65880665,8937705.047363594,46411101.07243529,160077802.26587877,55851293.24569818,93129775.3611838,92088529.5688753,98558253.90136912,145979301.29962707,43053421.879004,120485782.4546972,107212481.08570015,47748900.98011261,63713994.13054279,76389134.05328459,49399225.97861722,75697051.42626888,84632575.60682873,93417346.2587164,121447578.60223903,48949193.748227,149383685.6728351
4,68298867.43124354,84220178.49762835,104143686.3712897,50114271.209204555,76479219.27171831,90582091.85452455,65960528.67428006,67970453.56213665,81874719.63663194,41578880.154393286,141352366.06219503,27659073.60461244,88838190.19022463,70117848.3983828,47343675.73880239,38484700.57687402,89515303.50432095,59499721.74837709,85891390.40179737,119788815.10285819,87032592.90411976,40318612.30274236,77021526.5643076,86107022.9106811,100970804.14600697,84087169.1820536,92648961.32565242,105422235.67356884,41680465.65880665,8937705.047363594,46411101.07243529,160077802.26587877,55851293.24569818,76201989.59265105,92088529.5688753,94150876.60299453,145979301.29962707,43053421.879004,22824928.72159276,107212481.08570015,47748900.98011261,63713994.13054279,76389134.05328459,49399225.97861722,67702422.79669856,84632575.60682873,93417346.2587164,121447578.60223903,48949193.748227,81079533.79298851
5,68298867.43124354,84220178.49762835,104143686.3712897,50114271.209204555,52823569.96146906,90582091.85452455,50684071.24510383,67970453.56213665,81874719.63663194,22154753.56986305,124072109.31294595,27659073.60461244,88838190.19022463,70117848.3983828,47343675.73880239,38484700.57687402,89515303.50432095,59499721.74837709,85891390.40179737,119788815.10285819,41823263.18864246,40318612.30274236,77021526.5643076,86107022.9106811,100970804.14600697,84087169.1820536,81175630.09615077,58116731.92948796,41680465.65880665,8937705.047363594,46411101.07243529,144755094.4777374,33969344.979427576,76201989.59265105,92088529.5688753,94150876.60299453,121950142.52594544,43053421.879004,22824928.72159276,65885440.16323756,47748900.98011261,63713994.13054279,76389134.05328459,49399225.97861722,67702422.79669856,84632575.60682873,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
6,68298867.43124354,84220178.49762835,104143686.3712897,50114271.209204555,52823569.96146906,90582091.85452455,50684071.24510383,67970453.56213665,81874719.63663194,22154753.56986305,124072109.31294595,27659073.60461244,88838190.19022463,70117848.3983828,47343675.73880239,38484700.57687402,89515303.50432095,59499721.74837709,85891390.40179737,117973942.94316292,41823263.18864246,40318612.30274236,34618668.18164855,86107022.9106811,100970804.14600697,84087169.1820536,81175630.09615077,58116731.92948796,41680465.65880665,8937705.047363594,46411101.07243529,101604338.80962667,33969344.979427576,62611890.578487776,92088529.5688753,94150876.60299453,114131206.99438438,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,63713994.13054279,76389134.05328459,3756997.223196593,67702422.79669856,84632575.60682873,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
7,68298867.43124354,84220178.49762835,96859327.5728578,50114271.209204555,52823569.96146906,90582091.85452455,50684071.24510383,67970453.56213665,81874719.63663194,22154753.56986305,124072109.31294595,27659073.60461244,85890278.85532144,70117848.3983828,47343675.73880239,38484700.57687402,89515303.50432095,59499721.74837709,85891390.40179737,117973942.94316292,41823263.18864246,40318612.30274236,34618668.18164855,86107022.9106811,100970804.14600697,84087169.1820536,81175630.09615077,58116731.92948796,41680465.65880665,8937705.047363594,46411101.07243529,101604338.80962667,33969344.979427576,50261802.014476486,92088529.5688753,79582530.05575684,112943804.43520002,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,38088382.91706486,76389134.05328459,3756997.223196593,67702422.79669856,48363656.03450928,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
8,68298867.43124354,84220178.49762835,96859327.5728578,50114271.209204555,52823569.96146906,90582091.85452455,50684071.24510383,67970453.56213665,81874719.63663194,22154753.56986305,118376227.04855141,27659073.60461244,85890278.85532144,55706711.070088655,47343675.73880239,38484700.57687402,89515303.50432095,59499721.74837709,85891390.40179737,61028618.30927995,41823263.18864246,40318612.30274236,34618668.18164855,61842570.38157804,84588918.95801929,84087169.1820536,81175630.09615077,58116731.92948796,41680465.65880665,8937705.047363594,46411101.07243529,101604338.80962667,33969344.979427576,50261802.014476486,92088529.5688753,79582530.05575684,112943804.43520002,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,38088382.91706486,76389134.05328459,3756997.223196593,67702422.79669856,48363656.03450928,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
9,68298867.43124354,84220178.49762835,96859327.5728578,50114271.209204555,52823569.96146906,90582091.85452455,50684071.24510383,67970453.56213665,81874719.63663194,22154753.56986305,118376227.04855141,27659073.60461244,81024240.06814378,55706711.070088655,47343675.73880239,38484700.57687402,89515303.50432095,59499721.74837709,85891390.40179737,61028618.30927995,41823263.18864246,40318612.30274236,34618668.18164855,61842570.38157804,80293483.99244069,84087169.1820536,81175630.09615077,58116731.92948796,20946604.338293042,8937705.047363594,46411101.07243529,101604338.80962667,33969344.979427576,50261802.014476486,92088529.5688753,79582530.05575684,112943804.43520002,43053421.879004,22824928.72159276,62130708.32286367,47748900.98011261,38088382.91706486,76389134.05328459,3756997.223196593,67702422.79669856,48363656.03450928,93417346.2587164,16930913.16041485,48949193.748227,81079533.79298851
